"","LGA","m_count","f_count","m_percent","f_percent"
"1",10050,24662,26411,0.482849087634114,0.517092176364633
"2",10130,14227,15220,0.483106387313661,0.516825698665489
"3",10250,20127,21658,0.4816223977028,0.518257956448911
"4",10300,1177,1115,0.514648010494097,0.487538259728902
"5",10470,20695,20605,0.501089588377724,0.498910411622276
"6",10550,16252,17001,0.488737858238354,0.511262141761646
"7",10600,6123,6548,0.483343858541206,0.516892958635933
"8",10650,4224,4236,0.499172772394233,0.500590876861262
"9",10750,167574,169390,0.497308301826319,0.502697633561054
"10",10800,2971,2988,0.498908480268682,0.50176322418136
"11",10850,3613,3647,0.497864131183685,0.502549262780763
"12",10900,37119,39782,0.482666701341933,0.517294288983668
"13",10950,1355,1334,0.50334323922734,0.49554234769688
"14",11100,23229,23420,0.497899429845244,0.501993398208085
"15",11150,1301,1329,0.493925588458618,0.504555808656036
"16",11200,849,802,0.514233797698365,0.485766202301635
"17",11250,8615,9091,0.486503275355771,0.513383781341766
"18",11300,17785,19028,0.483169876932272,0.516938792143226
"19",11350,15197,16361,0.481588287488909,0.518475091900114
"20",11400,6692,6699,0.499925295084417,0.500448229493501
"21",11450,38336,39884,0.49011736428955,0.509908205272444
"22",11500,77002,79999,0.490439855801689,0.509528298281594
"23",11520,42348,45666,0.481145259330796,0.518843378969494
"24",11570,172327,173977,0.497620573949905,0.502385201356042
"25",11600,1421,1303,0.522618609783008,0.479220301581464
"26",11650,158768,168972,0.484438694559035,0.515573510386409
"27",11700,973,859,0.530823786142935,0.468630660120022
"28",11720,27633,27928,0.497354211663067,0.502663786897048
"29",11730,25140,25530,0.49614177734799,0.50383848749778
"30",11750,2394,2255,0.515171078114913,0.485259307079836
"31",11800,35319,37629,0.484193353805659,0.515861482781312
"32",12000,2160,2156,0.500579374275782,0.499652375434531
"33",12150,1947,1970,0.496937212863706,0.502807554874936
"34",12350,6157,6308,0.494141252006421,0.506260032102729
"35",12380,111080,105000,0.514071242462248,0.485933385474757
"36",12700,4497,4479,0.501058495821727,0.499052924791086
"37",12730,4353,4492,0.491808835159869,0.50751327533612
"38",12750,18270,18955,0.490706918779544,0.509105070906747
"39",12850,97959,100855,0.492709375958796,0.507275534788273
"40",12870,6102,6174,0.497026960983954,0.502891585892319
"41",12900,4806,4784,0.501303848962136,0.499009074788776
"42",12930,71755,75086,0.488657799933261,0.511342200066739
"43",12950,2089,2142,0.493153918791313,0.505665722379603
"44",13010,4380,4453,0.495699411498416,0.503961068356722
"45",13310,14982,14631,0.505994798878719,0.494140295180519
"46",13340,5187,5170,0.501111003767752,0.499468650371945
"47",13450,12795,12847,0.499005499005499,0.501033501033501
"48",13510,5514,5624,0.494928641953146,0.504802082398348
"49",13550,6105,6107,0.499795333606222,0.499959066721244
"50",13660,2657,2592,0.50532521871434,0.492963103841765
"51",13800,31952,32635,0.494674263066634,0.505248327966312
"52",13850,1480,1461,0.502376103190767,0.495926680244399
"53",13910,9088,9402,0.49129635636285,0.508271164450211
"54",14000,69634,73027,0.488087644655036,0.511870299368459
"55",14100,6987,7016,0.499107079077077,0.501178655618258
"56",14170,88736,93302,0.487445273918799,0.512527260042957
"57",14200,8061,8423,0.489049323545471,0.511011345022144
"58",14300,3574,2720,0.567752184273233,0.43208895949166
"59",14350,14447,14439,0.500155790202527,0.499878829842479
"60",14400,10528,10936,0.490495713753261,0.509504286246739
"61",14500,56657,61394,0.479928506687674,0.520054551769121
"62",14550,4529,4411,0.506599552572707,0.493400447427293
"63",14600,3100,3099,0.500484339683565,0.500322893122377
"64",14650,96294,101077,0.487883224992527,0.512116775007473
"65",14700,17733,18313,0.491886494133311,0.507974813458711
"66",14750,5530,5633,0.495164756446991,0.504387535816619
"67",14850,20975,22160,0.486264054711951,0.513735945288049
"68",14870,10689,10401,0.506827880512091,0.493172119487909
"69",14900,101351,102975,0.496025958517271,0.503974041482729
"70",14920,3870,3815,0.503447378691297,0.496292441784832
"71",14950,1537,1579,0.492786149406861,0.506252003847387
"72",15050,37736,39571,0.488144363236531,0.511881508311235
"73",15240,44091,46215,0.48825620411282,0.511777017374838
"74",15270,12099,11975,0.502533643462369,0.497383286260176
"75",15300,6636,6520,0.504293639334296,0.495478379816095
"76",15350,13189,15290,0.463178226514486,0.536962247585601
"77",15520,5795,5881,0.496147260273973,0.503510273972603
"78",15560,2026,1812,0.5281543274244,0.472367049009385
"79",15650,8243,7837,0.512433171702101,0.487193833146836
"80",15700,9421,9794,0.490370601707266,0.509785550697481
"81",15750,6528,6559,0.498929990828493,0.501299296851116
"82",15800,2901,2953,0.495643259866735,0.504527592687511
"83",15850,3214,3226,0.498758535071384,0.500620732464308
"84",15900,76642,78766,0.49315685504887,0.506823841298235
"85",15950,31910,35744,0.471636761358598,0.528304117768778
"86",15990,123507,129370,0.488405476158464,0.511590569365465
"87",16100,2751,2543,0.518958687040181,0.479720807394831
"88",16150,19615,20728,0.486193733888558,0.513781479278207
"89",16200,7190,7416,0.492196056955093,0.507667031763417
"90",16260,113158,112996,0.500369225599052,0.499652883718257
"91",16350,96822,99243,0.493823508410433,0.506171391266206
"92",16380,37697,40846,0.479978100052203,0.520072830058952
"93",16400,34384,35174,0.494335499453678,0.505693254356202
"94",16490,28133,27899,0.502132900208828,0.497956342477734
"95",16550,69179,71482,0.49181714773212,0.508189961609555
"96",16610,11318,11489,0.496251150962424,0.503748849037576
"97",16650,54079,55325,0.494305509853387,0.505694490146613
"98",16700,56509,59791,0.485881584151605,0.514101219239566
"99",16900,33444,35015,0.48851884312007,0.511466549810108
"100",16950,49284,50364,0.494570998494732,0.505408931259408
"101",17000,11701,11288,0.509026841258102,0.491060164440771
"102",17040,10461,9756,0.517410228509249,0.482540310614304
"103",17080,7278,7119,0.505592219520667,0.494546717610281
"104",17100,20434,19874,0.50689620956539,0.493004564397698
"105",17150,106713,111750,0.488469496118354,0.511525926468434
"106",17200,107852,100530,0.517588566711778,0.482449825794005
"107",17310,29077,30581,0.487353971473107,0.512562224494243
"108",17350,3036,3073,0.496890343698854,0.502945990180033
"109",17400,3253,3375,0.49079662039831,0.50920337960169
"110",17420,77451,79791,0.492556107426086,0.50743753299034
"111",17550,44109,47261,0.482746166726861,0.517242888881593
"112",17620,6970,7140,0.49390589569161,0.505952380952381
"113",17640,3917,3785,0.5090318388564,0.491877842755036
"114",17650,2926,3120,0.483796296296296,0.515873015873016
"115",17750,30504,31880,0.48896369319548,0.511020277310251
"116",17850,1551,1540,0.501617076326003,0.498059508408797
"117",17900,3235,2875,0.529719993450139,0.47077124611102
"118",17950,1366,1366,0.5,0.5
"119",18020,4689,4692,0.499680306905371,0.5
"120",18050,32485,34334,0.486215051188409,0.513889720409507
"121",18100,1834,1831,0.500545851528384,0.499727074235808
"122",18200,3512,3288,0.516926700029438,0.483956432146011
"123",18230,24566,25505,0.490564530622841,0.509315653893005
"124",18250,35686,38624,0.480283168689941,0.519824500013459
"125",18350,22894,24988,0.478133745457583,0.521866254542417
"126",18400,24207,24314,0.498917949669202,0.501123271295781
"127",18450,100542,103087,0.493748465353828,0.506246623778422
"128",18500,25232,29009,0.465191740412979,0.534826696165192
"129",18710,7931,8209,0.491326973113617,0.508549126502292
"130",19399,569,492,0.538825757575758,0.465909090909091
"131",20110,6074,6265,0.492340115100916,0.507821998865202
"132",20260,6152,5449,0.530344827586207,0.469741379310345
"133",20570,48864,52821,0.480538127175816,0.51945203862872
"134",20660,59222,62644,0.485963976531408,0.514044229270094
"135",20740,15897,16912,0.484605535910255,0.515546884526277
"136",20830,23543,24938,0.485632954475134,0.514408300501248
"137",20910,46229,50862,0.476160557026172,0.523880643134508
"138",21010,6720,7149,0.484813505519082,0.515763653416059
"139",21110,80145,87085,0.479247268748019,0.520746751499423
"140",21180,97239,97079,0.500409121084402,0.499585732738435
"141",21270,3138,3066,0.506047411707789,0.494436381228834
"142",21370,18293,18765,0.493591646204905,0.506327406168209
"143",21450,46358,47773,0.492499575046745,0.507532296447391
"144",21610,149024,150274,0.497906789486169,0.502083187159415
"145",21670,6412,6580,0.493420546363986,0.506348595613698
"146",21750,10485,10489,0.499952317375548,0.500143047873355
"147",21830,8082,7970,0.503520029904679,0.496542271509563
"148",21890,70903,75816,0.483257110531015,0.516742889468985
