"","LGA","count","Gender","percentage"
"133","20570",48864,"Male",0.480538127175816
"134","20660",59222,"Male",0.485963976531408
"135","20740",15897,"Male",0.484605535910255
"136","20830",23543,"Male",0.485632954475134
"137","20910",46229,"Male",0.476160557026172
"138","21010",6720,"Male",0.484813505519082
"139","21110",80145,"Male",0.479247268748019
"140","21180",97239,"Male",0.500409121084402
"141","21270",3138,"Male",0.506047411707789
"142","21370",18293,"Male",0.493591646204905
"143","21450",46358,"Male",0.492499575046745
"144","21610",149024,"Male",0.497906789486169
"145","21670",6412,"Male",0.493420546363986
"146","21750",10485,"Male",0.499952317375548
"147","21830",8082,"Male",0.503520029904679
"148","21890",70903,"Male",0.483257110531015
"149","22110",22107,"Male",0.490830373001776
"150","22170",65418,"Male",0.487673602051542
"151","22250",5257,"Male",0.498341074983411
"152","22310",68140,"Male",0.483691215616681
"153","22410",9749,"Male",0.498491588689472
"154","22490",11019,"Male",0.508068978236813
"155","22620",53587,"Male",0.485051187124922
"156","22670",77550,"Male",0.510029595527787
"157","22750",113214,"Male",0.485004005500602
"158","22830",31713,"Male",0.496780863762395
"159","22910",7382,"Male",0.481539465101109
"160","22980",2848,"Male",0.497815067295927
"161","23110",43631,"Male",0.491461848656199
"162","23190",9576,"Male",0.487526728439059
"163","23270",98273,"Male",0.497897414072633
"164","23350",7859,"Male",0.492665496489468
"165","23430",73637,"Male",0.486409184286837
"166","23670",75317,"Male",0.488722341184868
"167","23810",35788,"Male",0.488526693694801
"168","23940",3848,"Male",0.511974454497073
"169","24130",22685,"Male",0.492082429501085
"170","24210",56306,"Male",0.484331856694336
"171","24250",4272,"Male",0.49767008387698
"172","24330",41405,"Male",0.503171786894808
"173","24410",53398,"Male",0.483782706385446
"174","24600",66137,"Male",0.486448120389235
"175","24650",66890,"Male",0.49386088612922
"176","24780",26481,"Male",0.491499313263299
"177","24850",20570,"Male",0.502712742558287
"178","24900",14514,"Male",0.498557295960429
"179","24970",89722,"Male",0.49130972850431
"180","25060",56394,"Male",0.483359189515818
"181","25150",15744,"Male",0.494814256081463
"182","25250",79507,"Male",0.489099275335573
"183","25340",74875,"Male",0.483067632694405
"184","25430",9389,"Male",0.500453067533714
"185","25490",8255,"Male",0.500454683237345
"186","25620",6957,"Male",0.506626856976406
"187","25710",30266,"Male",0.49395329100909
"188","25810",5652,"Male",0.494099134539732
"189","25900",49307,"Male",0.488851214022982
"190","25990",3831,"Male",0.529289859077093
"191","26080",1325,"Male",0.464423413950228
"192","26170",14059,"Male",0.489809427585967
"193","26260",7759,"Male",0.486640742599097
"194","26350",49371,"Male",0.475489251868403
"195","26430",5074,"Male",0.493868016351956
"196","26490",14582,"Male",0.496037010579311
"197","26610",10368,"Male",0.503692188107268
"198","26670",3077,"Male",0.514118629908104
"199","26700",13651,"Male",0.482197103496998
"200","26730",16157,"Male",0.480077254494132
"201","26810",21695,"Male",0.504734429890887
"202","26890",1966,"Male",0.503715090955675
"203","26980",78051,"Male",0.481564431940177
"204","27070",97541,"Male",0.493900987893119
"205","27170",19296,"Male",0.490356026530457
"206","27260",108806,"Male",0.501128397859268
"207","27350",42039,"Male",0.485119494097419
"208","27450",73819,"Male",0.493650400904124
"209","27630",3366,"Male",0.504345220257717
"210","29399",473,"Male",0.539954337899543
"211","30250",632,"Male",0.498029944838455
"212","30300",2251,"Male",0.514279186657528
"213","30370",7388,"Male",0.5159578182834
"214","30410",1449,"Male",0.505759162303665
"215","30450",149,"Male",0.558052434456929
"216","30760",944,"Male",0.496058854440357
"217","30900",228,"Male",0.535211267605634
"218","31000",556440,"Male",0.491921973558
"219","31750",187,"Male",0.529745042492918
"220","31820",45716,"Male",0.492114922979214
"221","31900",8673,"Male",0.507965327398384
"222","31950",183,"Male",0.557926829268293
"223","32080",77390,"Male",0.49324096086067
"224","32250",1003,"Male",0.512257405515832
"225","32260",14769,"Male",0.514133537561791
"226","32270",14756,"Male",0.527018822100789
"227","32310",5885,"Male",0.495537217918491
"228","32330",628,"Male",0.494877856579984
"229","32450",1706,"Male",0.562664907651715
"230","32500",2273,"Male",0.537860861334595
"231","32600",148,"Male",0.503401360544218
"232","32750",150,"Male",0.515463917525773
"233","32770",707,"Male",0.503202846975089
"234","32810",5960,"Male",0.508792897387741
"235","33100",435,"Male",0.544430538172716
"236","33200",777,"Male",0.505859375
"237","33220",49773,"Male",0.490355059899117
"238","33360",31647,"Male",0.513416612589228
"239","33430",270141,"Male",0.486109036728862
"240","33610",5340,"Male",0.502351834430856
"241","33620",24578,"Male",0.495934139106923
"242","33800",5556,"Male",0.510427193385393
"243","33830",499,"Male",0.543572984749455
"244","33960",95797,"Male",0.494479515622016
"245","33980",11419,"Male",0.545319961795606
"246","34420",451,"Male",0.477754237288136
"247","34530",18621,"Male",0.513371195412439
"248","34570",357,"Male",0.501404494382023
"249","34580",19298,"Male",0.499831645471263
"250","34590",149901,"Male",0.494093333245437
"251","34710",1791,"Male",0.489344262295082
"252","34770",58256,"Male",0.506710504570797
"253","34800",432,"Male",0.542713567839196
"254","34830",151,"Male",0.487096774193548
"255","34860",6515,"Male",0.514369177325122
"256","34880",11310,"Male",0.524655564317855
"257","35010",208170,"Male",0.48946395737617
"258","35250",563,"Male",0.492563429571304
"259","35300",9656,"Male",0.517165657972256
"260","35600",2131,"Male",0.4947759461342
"261","35670",495,"Male",0.517241379310345
"262","35740",25340,"Male",0.485915357916739
"263","35760",5353,"Male",0.510879938919641
"264","35780",1359,"Male",0.486051502145923
"265","35790",1209,"Male",0.494276369582993
"266","35800",815,"Male",0.496951219512195
"267","36070",375,"Male",0.500667556742323
"268","36150",436,"Male",0.536285362853628
"269","36250",71985,"Male",0.489660567308346
"270","36300",410,"Male",0.518331226295828
"271","36370",39402,"Male",0.494217695607456
"272","36510",19761,"Male",0.493137352765023
"273","36580",12381,"Male",0.503354067569216
"274","36630",16111,"Male",0.500559249363077
"275","36660",17285,"Male",0.492309883224153
"276","36720",141965,"Male",0.48227212968845
"277","36820",12214,"Male",0.491964393603738
"278","36910",78166,"Male",0.486170457584635
"279","36950",1788,"Male",0.495290858725762
"280","36960",2295,"Male",0.508418254319894
"281","37010",93352,"Male",0.49985810438163
"282","37300",2097,"Male",0.537003841229193
"283","37310",17128,"Male",0.512139696208587
"284","37340",17495,"Male",0.517940671442951
"285","37400",590,"Male",0.520282186948854
"286","37550",470,"Male",0.488565488565489
"287","37570",131,"Male",0.464539007092199
"288","37600",1278,"Male",0.499413833528722
"289","40070",11310,"Male",0.512622943389385
"290","40120",19338,"Male",0.497594112652137
"291","40220",12601,"Male",0.487032814130561
"292","40250",1080,"Male",0.474516695957821
"293","40310",11638,"Male",0.494014772051957
"294","40430",1307,"Male",0.51375786163522
"295","40520",5268,"Male",0.499573257467994
"296","40700",20723,"Male",0.471931862175765
